"","year","care.virtue","care.vice","fairness.virtue","fairness.vice","loyalty.virtue","loyalty.vice","authority.virtue","authority.vice","sanctity.virtue","sanctity.vice","len","n"
"1","1993",0.00412609380548701,0.00128333773435437,0.00361090117734901,0.000445444032670752,0.0257683727452355,1.27477850723437e-06,0.01347313404296,0.000317966181947315,0.00239148447957167,0.0301496043633847,5491150,1305
"2","1994",0.00462855915080768,0.00139766941922423,0.00337518705729688,0.000435141829135808,0.0285822220172357,7.15861998578298e-07,0.0129407396142997,0.000375418485254419,0.00256207009291173,0.0308068143108177,9778421,2617
"3","1995",0.00501683000276237,0.00154095982739158,0.0035320838624089,0.000443627732388746,0.0295907370756833,1.64832853802353e-06,0.013315141091239,0.00039883866728659,0.00235489309168458,0.0302148283635281,17593580,5138
"4","1996",0.00551504493578179,0.00171362418055269,0.00331885341885101,0.000480300063442638,0.0326703658430605,1.08539661803439e-06,0.0127893248299985,0.000393178894901745,0.00212383174239515,0.0301721928670677,41459499,9494
"5","1997",0.00528625001969443,0.00172738996311609,0.00336496695982109,0.000481405154477558,0.0338694392054138,1.08438950922466e-06,0.0125117499450523,0.000378260575864836,0.00207069492421297,0.0302947810820638,47031071,10119
"6","1998",0.00543457493397998,0.0017491423287615,0.00348415282294947,0.000488994776590889,0.0323686861190086,8.26264849144851e-06,0.0124343494073829,0.000385201758891005,0.00204674336346987,0.030596212734935,48047548,10094
"7","1999",0.00548849778257837,0.0018395516779147,0.0035306947269457,0.000475525389001614,0.0287777804624866,2.49549221236744e-05,0.0122775371824783,0.000391800405980817,0.00201632925735595,0.0311347809857068,49208729,9851
"8","2000",0.00555797608431138,0.00204183359508399,0.00355035319343588,0.000485266606765181,0.0263188401937593,4.03469735448384e-05,0.0120328231052118,0.000395508627845351,0.00203990849097847,0.0314958261436878,49867433,9654
"9","2001",0.00561014306853712,0.00218735391198995,0.00365580300703754,0.000480160767155661,0.0245382742247596,4.65471786123647e-05,0.0121607444059143,0.000383388819337763,0.00205493926929525,0.0315521664515134,46769752,8947
"10","2002",0.00577363839906731,0.00222051392496453,0.00376435381198771,0.000491262592381357,0.023415207877282,5.0825553932296e-05,0.0124233551851098,0.00038595449722392,0.00202527022015611,0.0310980126244895,45666005,8350
"11","2003",0.00593955988821625,0.00225888142499851,0.00388353151475422,0.000505532343656871,0.0224350967153763,5.74074135848254e-05,0.0126817642229065,0.000382175149094739,0.0019685536297939,0.0309256689620316,44367092,8409
"12","2004",0.00590174757624504,0.00229438524264773,0.00390183279626834,0.000517478862688893,0.0213119996285559,6.47814140849492e-05,0.0129003115082042,0.000381652926486289,0.00200049933672642,0.0309486055409174,47899541,8982
"13","2005",0.00589168840361983,0.00211123753754846,0.00395313523540488,0.000546351477649215,0.0212897225443625,3.66822210462371e-05,0.0129593899790282,0.000373988680698079,0.00215611985434517,0.0300811439671057,43536077,8978
"14","2006",0.00614095900246544,0.00212090321587448,0.00394707006119195,0.000532384393620296,0.0209078962047499,2.78838992651729e-05,0.0130024044403154,0.000346364755990613,0.00230943697556906,0.0301612113476906,39377563,8932
"15","2007",0.00625307302482682,0.00221907829236089,0.00397997184902886,0.00053523045543588,0.020302582170131,3.19845763153127e-05,0.0129493608928801,0.000339839278892454,0.00230644894636823,0.0304514371765743,39612843,8408
"16","2008",0.00621508622713056,0.00223771965359626,0.00395057000836279,0.00057718019288311,0.0203085799428688,2.93175721138382e-05,0.0130702474237917,0.000318668317201787,0.0022445654914138,0.0299595161057571,46013360,9296
"17","2009",0.00626402725803733,0.00221765944327004,0.00390777356638315,0.000574370917893586,0.0201272388245485,2.36940986698869e-05,0.0131819467240247,0.000312350971963303,0.00230401848234905,0.0298397636268061,46214039,9268
"18","2010",0.0066250448301228,0.00222635381783182,0.0040433355548093,0.000567142122469843,0.0199951426108026,2.18314484219278e-05,0.0136120810134357,0.000308017960408387,0.00227665261038413,0.029592290567673,46263536,8905
"19","2011",0.00673224776095559,0.00227565589889341,0.00410879661132375,0.000575251967138426,0.0198794992663815,2.32855952708023e-05,0.0137351016906164,0.000310000596582283,0.00239172836997611,0.0294863848702289,45006365,8592
"20","2012",0.00678385069168525,0.00225835918263774,0.00414808514048198,0.000579649207803539,0.0197576724135747,2.18983194939485e-05,0.0136694330085274,0.000304388943628291,0.0023592157960799,0.0294742400005158,43427990,8258
"21","2013",0.00708488195364651,0.00244065531400926,0.00412697363231026,0.000572784307519917,0.0195332220830696,2.26126618297128e-05,0.0136882212249749,0.000299734089520597,0.00238521707003786,0.0296860978681122,42984767,8153
"22","2014",0.00746854117634315,0.00258557049550804,0.00411197043729069,0.000574836116734483,0.0193872189130086,2.26601392503748e-05,0.01360774923989,0.000307867734595746,0.00241313123359252,0.0297011004957964,43203618,7987
"23","2015",0.00780873338486157,0.00268965746118783,0.00410164235064938,0.000578111484008745,0.0193368993766937,2.61755046027315e-05,0.0134645137499689,0.000311903048963046,0.00243619329897133,0.0297509600902674,42215041,7707
"24","2016",0.00799661474552776,0.00272518414848917,0.00414671459893459,0.000567294211464131,0.0193349218887578,2.41133976332589e-05,0.0135878872258104,0.000315596740569582,0.00251117465936124,0.0297829337613359,40516895,7574
"25","2017",0.00817760176706151,0.00282331255800822,0.00419409983701423,0.000566588406950391,0.0192529757084068,2.88884302312145e-05,0.0135420456970446,0.000316171988357387,0.00243865873244471,0.0297881485102424,39981404,7161
"26","2018",0.00853514994564867,0.00300454918365523,0.00425791217714594,0.000582063600773448,0.0193679007780745,3.03003070750687e-05,0.0135226662695922,0.000328484594602327,0.00246663673807027,0.029751066704524,39636562,6984
"27","2019",0.00878221813494051,0.00309074291748961,0.00428175042050086,0.000581191247518524,0.0193966136337654,3.33242590626384e-05,0.0134642639008458,0.000325663153386966,0.0024820888423736,0.0299430721101343,39580775,6783
"28","2020",0.0102345108307145,0.00315530798924638,0.00470398663366198,0.000588074019460805,0.0203376233821208,5.17833464623217e-05,0.0128186321369601,0.000328641472091322,0.00232291704628599,0.0304352638085653,44589625,6955
